ID,Par_No,T1,DEATH,K_REV,KMCT,KP1,KD1,KI1,IMAX1,IMIN1,PMAX1,PMIN1,K2,FFMAX,FFMIN,TC,Topen,VELC,VELO,PMAX,PMIN,TF,KP,KD,KI,IMAX,IMIN,PIDMAX,PIDMIN,TCH,FHP,TRH,FIP,TCO,FLP,LND,TSH,TD,TW,K_MP,TDLY,VMAX,VMIN,Tr_pm,Tr_pe,TDELAY1,TDELAY2,TDELAY3,RR,RF,Note
1,1,0.020000,0.001300,20.000000,3,0.900000,0.000000,0.120000,1.000000,-1.000000,1.000000,-1.000000,0.800000,0.004000,-0.004000,0.928000,0.893000,-1.000000,1.000000,1.000000,0.050000,0.020000,25.000000,0.000000,10.000000,1.000000,-1.000000,1.000000,-1.000000,0.350000,0.290000,18.000000,0.270000,0.000000,0.440000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.600000,0.020000,2.000000,9999.000000,-9999.000000,
2,2,0.020000,0.001300,20.000000,3,0.700000,0.000000,0.067000,2.000000,-2.000000,2.000000,-2.000000,0.600000,0.004000,-0.004000,0.833000,0.830000,-1.000000,1.000000,1.000000,0.000000,0.020000,30.000000,0.000000,10.000000,1.000000,-1.000000,1.000000,-1.000000,0.220000,0.290000,18.000000,0.710000,1.000000,0.000000,0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.650000,2.350000,0.000000,9999.000000,-9999.000000,
3,3,0.020000,0.001300,20.000000,3,0.100000,0.000000,0.010000,1.060000,-1.000000,1.060000,-1.060000,1.000000,0.003200,-0.004000,0.423000,0.948000,-1.000000,1.000000,1.000000,0.000000,0.020000,6.000000,0.000000,0.000000,1.060000,-1.000000,1.060000,-1.000000,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.500000,9999.000000,-9999.000000,
4,4,0.020000,0.001300,22.200000,3,0.900000,0.000000,0.040000,1.000000,-1.000000,1.000000,-1.000000,1.000000,0.003000,-0.003000,2.080000,2.200000,-1.000000,1.000000,1.000000,0.000000,0.020000,15.000000,0.000000,5.000000,0.100000,-0.100000,1.000000,-1.000000,0.200000,0.290000,24.000000,0.710000,1.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,2.000000,0.000000,0.000000,2.500000,9999.900000,-9999.900000,___
5,5,0.020000,0.001300,25.000000,3,0.100000,0.000000,0.050000,1.060000,-1.000000,1.060000,-1.000000,0.700000,0.003300,-0.003300,1.620000,1.620000,-1.000000,1.000000,1.000000,-0.050000,0.020000,10.000000,0.000000,0.000000,1.060000,-1.000000,1.060000,-1.000000,0.200000,0.272000,11.000000,0.728000,0.000000,0.000000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.010000,0.000000,0.000000,0.000000,999999.000000,-999999.000000,
6,6,0.020000,0.001300,20.000000,3,1.200000,0.000000,0.303000,1.000000,-1.000000,1.000000,-1.000000,0.000000,0.004000,-0.004000,1.010000,0.822000,-1.000000,1.000000,1.000000,0.000000,0.020000,4.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.100000,0.300000,11.910000,0.400000,1.000000,0.300000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,0.005100,-0.005100,GO1_  5
7,7,0.020000,0.001300,20.000000,3,1.200000,0.000000,0.130000,1.000000,-1.000000,1.000000,-1.000000,0.000000,0.004000,-0.004000,0.810000,0.780000,-1.000000,1.000000,1.000000,0.000000,0.020000,6.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,1.800000,0.300000,11.700000,0.400000,1.000000,0.300000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,0.004000,-0.004000,GO1_  5
8,8,0.020000,0.001300,20.000000,3,0.650000,0.000000,0.367000,1.000000,-1.000000,1.000000,-1.000000,0.500000,0.004000,-0.004000,0.440000,0.523000,-1.000000,1.000000,1.000000,0.000000,0.020000,6.000000,0.000000,0.200000,1.000000,-1.000000,1.000000,-1.000000,0.150000,0.330000,17.000000,0.340000,1.000000,0.330000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,9999999.000000,-999999.000000,GO1_  5
9,9,0.020000,0.001300,20.000000,3,1.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.550000,0.004000,-0.004000,1.500000,1.300000,-1.000000,1.000000,1.000000,0.000000,0.020000,5.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,1.000000,0.330000,14.000000,0.340000,1.000000,0.330000,0.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,99999.000000,-99999.000000,GO1_  5
10,10,0.020000,0.001300,20.000000,3,0.400000,0.000000,0.466670,1.000000,-1.000000,1.000000,-1.000000,0.550000,0.004000,-0.004000,0.900000,0.960000,-1.000000,1.000000,1.000000,0.000000,0.020000,7.260000,0.000000,0.000000,1.000000,-1.000000,1.000000,-1.000000,0.276100,0.330000,12.840000,0.340000,1.000000,0.330000,1.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,1.000000,0.000000,1.200000,999999.000000,-999999.000000,GO1_  5
11,11,0.020000,0.001300,20.000000,3,0.600000,0.000000,0.400000,1.000000,-1.000000,1.000000,-1.000000,0.125000,0.004000,-0.004000,0.831000,1.042500,-1.000000,1.000000,1.000000,0.000000,0.020000,40.040000,0.000000,3.070000,1.000000,-1.000000,1.000000,-1.000000,0.080000,0.330000,12.600000,0.340000,1.000000,0.330000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.020000,0.000000,0.000000,0.000000,99999.000000,-99999.000000,GO1_  5
12,12,0.020000,0.001300,20.000000,3,0.560000,0.000000,0.025000,1.060000,-1.000000,1.060000,-1.000000,0.900000,0.004000,-0.004000,1.010000,1.970000,-1.000000,1.000000,1.010000,-0.050000,0.020000,30.000000,0.000000,50.000000,1.060000,-1.000000,1.060000,-1.000000,0.200000,0.300000,10.000000,0.700000,0.000000,0.000000,1.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000,1.000000,-1.000000,
13,13,0.020000,0.001300,20.000000,3,0.450000,0.000000,0.040000,1.060000,-1.000000,1.060000,-1.000000,0.600000,0.003000,-0.003000,1.670000,1.640000,-1.000000,1.000000,1.060000,-1.000000,0.100000,9.000000,0.000000,0.000000,1.000000,-1.000000,1.060000,-1.000000,0.200000,0.330000,21.000000,0.260000,1.000000,0.410000,1.200000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.020000,0.020000,0.020000,0.020000,0.020000,9999.000000,-9999.000000,
14,14,0.020000,0.001300,20.000000,3,0.450000,0.000000,0.040000,1.060000,-1.000000,1.060000,-1.000000,0.600000,0.003000,-0.003000,1.400000,1.630000,-1.000000,1.000000,1.060000,-0.050000,0.020000,18.000000,0.000000,0.000000,1.060000,-1.000000,1.060000,-1.000000,0.200000,0.330000,11.000000,0.670000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000,1.000000,-0.100000,
15,15,0.020000,0.001300,17.000000,3,0.800000,0.000000,0.040000,1.050000,-1.050000,1.050000,-1.050000,1.000000,0.003700,-0.003700,1.520000,1.850000,-1.000000,1.000000,1.050000,-1.000000,0.020000,12.000000,0.000000,0.000000,1.050000,-1.000000,1.050000,-1.000000,0.350000,0.310000,15.000000,0.690000,0.000000,0.000000,0.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.500000,0.000000,0.000000,2.500000,9999.000000,-9999.000000,
16,16,0.020000,0.001300,14.000000,3,0.400000,0.000000,0.027000,1.050000,-1.000000,1.050000,-1.000000,1.000000,0.003000,-0.003000,2.120000,2.210000,-1.000000,1.000000,1.000000,-0.050000,0.020000,10.000000,0.000000,0.000000,0.100000,-0.100000,1.000000,-1.000000,0.350000,0.310000,16.000000,0.690000,0.000000,0.000000,0.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.500000,2.500000,0.000000,0.000000,1.500000,9999.000000,-9999.000000,
17,17,0.020000,0.001300,16.000000,3,0.450000,0.000000,0.024000,1.050000,-1.000000,1.050000,-1.000000,1.000000,0.003000,-0.003000,2.640000,2.150000,-1.000000,1.000000,1.000000,-0.050000,0.020000,1.000000,0.000000,0.000000,0.100000,-0.100000,1.000000,-1.000000,0.350000,0.310000,15.000000,0.690000,0.000000,0.000000,0.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.500000,2.500000,0.000000,0.000000,1.500000,9999.000000,-9999.000000,
